startTime,actual_MW,forecast_MW,forecastPublishTime,horizonHours
2025-09-30T23:00:00Z,7114,9119,2025-09-30T10:30:00Z,12.5
2025-09-30T23:30:00Z,7097,9352,2025-09-30T10:30:00Z,13
2025-10-01T00:00:00Z,7109,9352,2025-09-30T10:30:00Z,13.5
2025-10-01T00:30:00Z,7380,9426,2025-09-30T12:30:00Z,12
2025-10-01T01:00:00Z,7472,9426,2025-09-30T12:30:00Z,12.5
2025-10-01T01:30:00Z,7324,9574,2025-09-30T12:30:00Z,13
2025-10-01T02:00:00Z,7328,9574,2025-09-30T12:30:00Z,13.5
2025-10-01T02:30:00Z,7283,9661,2025-09-30T12:30:00Z,14
2025-10-01T03:00:00Z,7221,9661,2025-09-30T12:30:00Z,14.5
2025-10-01T03:30:00Z,7110,9663,2025-09-30T12:30:00Z,15
2025-10-01T04:00:00Z,7162,9663,2025-09-30T12:30:00Z,15.5
2025-10-01T04:30:00Z,7163,9499,2025-09-30T16:30:00Z,12
2025-10-01T05:00:00Z,7411,9499,2025-09-30T16:30:00Z,12.5
2025-10-01T05:30:00Z,7480,9485,2025-09-30T16:30:00Z,13
2025-10-01T06:00:00Z,7286,9485,2025-09-30T16:30:00Z,13.5
2025-10-01T06:30:00Z,7193,9472,2025-09-30T16:30:00Z,14
2025-10-01T07:00:00Z,7015,9472,2025-09-30T16:30:00Z,14.5
2025-10-01T07:30:00Z,6976,9720,2025-09-30T19:30:00Z,12
2025-10-01T08:00:00Z,6791,9720,2025-09-30T19:30:00Z,12.5
2025-10-01T08:30:00Z,6709,9715,2025-09-30T19:30:00Z,13
2025-10-01T09:00:00Z,6676,9715,2025-09-30T19:30:00Z,13.5
2025-10-01T09:30:00Z,6650,9595,2025-09-30T19:30:00Z,14
2025-10-01T10:00:00Z,6665,9595,2025-09-30T19:30:00Z,14.5
2025-10-01T10:30:00Z,6997,9574,2025-09-30T19:30:00Z,15
2025-10-01T11:00:00Z,7819,9574,2025-09-30T19:30:00Z,15.5
2025-10-01T11:30:00Z,8024,9543,2025-09-30T23:30:00Z,12
2025-10-01T12:00:00Z,7901,9543,2025-09-30T23:30:00Z,12.5
2025-10-01T12:30:00Z,7911,9265,2025-09-30T23:30:00Z,13
2025-10-01T13:00:00Z,7689,9265,2025-09-30T23:30:00Z,13.5
2025-10-01T13:30:00Z,7671,9004,2025-09-30T23:30:00Z,14
2025-10-01T14:00:00Z,7421,9004,2025-09-30T23:30:00Z,14.5
2025-10-01T14:30:00Z,7406,8804,2025-09-30T23:30:00Z,15
2025-10-01T15:00:00Z,7459,8804,2025-09-30T23:30:00Z,15.5
2025-10-01T15:30:00Z,7450,8038,2025-10-01T03:30:00Z,12
2025-10-01T16:00:00Z,7766,8038,2025-10-01T03:30:00Z,12.5
2025-10-01T16:30:00Z,7645,8224,2025-10-01T03:30:00Z,13
2025-10-01T17:00:00Z,7682,8224,2025-10-01T03:30:00Z,13.5
2025-10-01T17:30:00Z,7875,8618,2025-10-01T05:30:00Z,12
2025-10-01T18:00:00Z,7892,8618,2025-10-01T05:30:00Z,12.5
2025-10-01T18:30:00Z,8044,8993,2025-10-01T05:30:00Z,13
2025-10-01T19:00:00Z,7998,8993,2025-10-01T05:30:00Z,13.5
2025-10-01T19:30:00Z,8245,9516,2025-10-01T05:30:00Z,14
2025-10-01T20:00:00Z,8660,9516,2025-10-01T05:30:00Z,14.5
2025-10-01T20:30:00Z,9092,9924,2025-10-01T08:30:00Z,12
2025-10-01T21:00:00Z,9340,9924,2025-10-01T08:30:00Z,12.5
2025-10-01T21:30:00Z,9596,10305,2025-10-01T08:30:00Z,13
2025-10-01T22:00:00Z,9695,10305,2025-10-01T08:30:00Z,13.5
2025-10-01T22:30:00Z,9708,10629,2025-10-01T10:30:00Z,12
2025-10-01T23:00:00Z,9514,10629,2025-10-01T10:30:00Z,12.5
2025-10-01T23:30:00Z,9220,10541,2025-10-01T10:30:00Z,13
2025-10-02T00:00:00Z,8997,10541,2025-10-01T10:30:00Z,13.5
2025-10-02T00:30:00Z,8923,10456,2025-10-01T12:30:00Z,12
2025-10-02T01:00:00Z,8619,10456,2025-10-01T12:30:00Z,12.5
2025-10-02T01:30:00Z,8404,10158,2025-10-01T12:30:00Z,13
2025-10-02T02:00:00Z,7982,10158,2025-10-01T12:30:00Z,13.5
2025-10-02T02:30:00Z,7414,9819,2025-10-01T12:30:00Z,14
2025-10-02T03:00:00Z,7499,9819,2025-10-01T12:30:00Z,14.5
2025-10-02T03:30:00Z,7441,9429,2025-10-01T12:30:00Z,15
2025-10-02T04:00:00Z,7305,9429,2025-10-01T12:30:00Z,15.5
2025-10-02T04:30:00Z,7429,9474,2025-10-01T16:30:00Z,12
2025-10-02T05:00:00Z,7549,9474,2025-10-01T16:30:00Z,12.5
2025-10-02T05:30:00Z,7355,9206,2025-10-01T16:30:00Z,13
2025-10-02T06:00:00Z,7449,9206,2025-10-01T16:30:00Z,13.5
2025-10-02T06:30:00Z,7293,8989,2025-10-01T16:30:00Z,14
2025-10-02T07:00:00Z,7118,8989,2025-10-01T16:30:00Z,14.5
2025-10-02T07:30:00Z,7142,8908,2025-10-01T19:30:00Z,12
2025-10-02T08:00:00Z,7404,8908,2025-10-01T19:30:00Z,12.5
2025-10-02T08:30:00Z,7876,8957,2025-10-01T19:30:00Z,13
2025-10-02T09:00:00Z,8152,8957,2025-10-01T19:30:00Z,13.5
2025-10-02T09:30:00Z,8849,9123,2025-10-01T19:30:00Z,14
2025-10-02T10:00:00Z,9501,9123,2025-10-01T19:30:00Z,14.5
2025-10-02T10:30:00Z,10084,9514,2025-10-01T19:30:00Z,15
2025-10-02T11:00:00Z,10549,9514,2025-10-01T19:30:00Z,15.5
2025-10-02T11:30:00Z,11061,9993,2025-10-01T23:30:00Z,12
2025-10-02T12:00:00Z,11096,9993,2025-10-01T23:30:00Z,12.5
2025-10-02T12:30:00Z,10980,10452,2025-10-01T23:30:00Z,13
2025-10-02T13:00:00Z,10847,10452,2025-10-01T23:30:00Z,13.5
2025-10-02T13:30:00Z,11273,11215,2025-10-01T23:30:00Z,14
2025-10-02T14:00:00Z,11174,11215,2025-10-01T23:30:00Z,14.5
2025-10-02T14:30:00Z,11523,12508,2025-10-01T23:30:00Z,15
2025-10-02T15:00:00Z,11822,12508,2025-10-01T23:30:00Z,15.5
2025-10-02T15:30:00Z,12042,13603,2025-10-02T03:30:00Z,12
2025-10-02T16:00:00Z,12325,13603,2025-10-02T03:30:00Z,12.5
2025-10-02T16:30:00Z,12735,14998,2025-10-02T03:30:00Z,13
2025-10-02T17:00:00Z,13108,14998,2025-10-02T03:30:00Z,13.5
2025-10-02T17:30:00Z,13539,16705,2025-10-02T05:30:00Z,12
2025-10-02T18:00:00Z,13984,16705,2025-10-02T05:30:00Z,12.5
2025-10-02T18:30:00Z,14437,17717,2025-10-02T05:30:00Z,13
2025-10-02T19:00:00Z,14633,17717,2025-10-02T05:30:00Z,13.5
2025-10-02T19:30:00Z,14460,18556,2025-10-02T05:30:00Z,14
2025-10-02T20:00:00Z,14560,18556,2025-10-02T05:30:00Z,14.5
2025-10-02T20:30:00Z,14638,19356,2025-10-02T08:30:00Z,12
2025-10-02T21:00:00Z,14673,19356,2025-10-02T08:30:00Z,12.5
2025-10-02T21:30:00Z,14664,19595,2025-10-02T08:30:00Z,13
2025-10-02T22:00:00Z,14636,19595,2025-10-02T08:30:00Z,13.5
2025-10-02T22:30:00Z,14707,19230,2025-10-02T10:30:00Z,12
2025-10-02T23:00:00Z,14732,19230,2025-10-02T10:30:00Z,12.5
2025-10-02T23:30:00Z,14845,18526,2025-10-02T10:30:00Z,13
2025-10-03T00:00:00Z,14758,18526,2025-10-02T10:30:00Z,13.5
2025-10-03T00:30:00Z,14343,18032,2025-10-02T12:30:00Z,12
2025-10-03T01:00:00Z,14053,18032,2025-10-02T12:30:00Z,12.5
2025-10-03T01:30:00Z,14124,17515,2025-10-02T12:30:00Z,13
2025-10-03T02:00:00Z,14156,17515,2025-10-02T12:30:00Z,13.5
2025-10-03T02:30:00Z,13752,16912,2025-10-02T12:30:00Z,14
2025-10-03T03:00:00Z,13524,16912,2025-10-02T12:30:00Z,14.5
2025-10-03T03:30:00Z,12984,16382,2025-10-02T12:30:00Z,15
2025-10-03T04:00:00Z,12388,16382,2025-10-02T12:30:00Z,15.5
2025-10-03T04:30:00Z,12309,16553,2025-10-02T16:30:00Z,12
2025-10-03T05:00:00Z,12699,16553,2025-10-02T16:30:00Z,12.5
2025-10-03T05:30:00Z,12581,15764,2025-10-02T16:30:00Z,13
2025-10-03T06:00:00Z,11946,15764,2025-10-02T16:30:00Z,13.5
2025-10-03T06:30:00Z,11795,14606,2025-10-02T16:30:00Z,14
2025-10-03T07:00:00Z,11666,14606,2025-10-02T16:30:00Z,14.5
2025-10-03T07:30:00Z,11615,14342,2025-10-02T19:30:00Z,12
2025-10-03T08:00:00Z,11748,14342,2025-10-02T19:30:00Z,12.5
2025-10-03T08:30:00Z,12337,13560,2025-10-02T19:30:00Z,13
2025-10-03T09:00:00Z,13282,13560,2025-10-02T19:30:00Z,13.5
2025-10-03T09:30:00Z,13378,13320,2025-10-02T19:30:00Z,14
2025-10-03T10:00:00Z,14119,13320,2025-10-02T19:30:00Z,14.5
2025-10-03T10:30:00Z,14539,13555,2025-10-02T19:30:00Z,15
2025-10-03T11:00:00Z,14770,13555,2025-10-02T19:30:00Z,15.5
2025-10-03T11:30:00Z,14414,15820,2025-10-02T23:30:00Z,12
2025-10-03T12:00:00Z,14557,15820,2025-10-02T23:30:00Z,12.5
2025-10-03T12:30:00Z,14387,17335,2025-10-02T23:30:00Z,13
2025-10-03T13:00:00Z,14346,17335,2025-10-02T23:30:00Z,13.5
2025-10-03T13:30:00Z,14320,18894,2025-10-02T23:30:00Z,14
2025-10-03T14:00:00Z,14186,18894,2025-10-02T23:30:00Z,14.5
2025-10-03T14:30:00Z,14607,19812,2025-10-02T23:30:00Z,15
2025-10-03T15:00:00Z,14787,19812,2025-10-02T23:30:00Z,15.5
2025-10-03T15:30:00Z,14767,20083,2025-10-03T03:30:00Z,12
2025-10-03T16:00:00Z,14591,20083,2025-10-03T03:30:00Z,12.5
2025-10-03T16:30:00Z,13929,19442,2025-10-03T03:30:00Z,13
2025-10-03T17:00:00Z,13648,19442,2025-10-03T03:30:00Z,13.5
2025-10-03T17:30:00Z,14137,18145,2025-10-03T05:30:00Z,12
2025-10-03T18:00:00Z,14274,18145,2025-10-03T05:30:00Z,12.5
2025-10-03T18:30:00Z,14659,17801,2025-10-03T05:30:00Z,13
2025-10-03T19:00:00Z,14397,17801,2025-10-03T05:30:00Z,13.5
2025-10-03T19:30:00Z,14097,18259,2025-10-03T05:30:00Z,14
2025-10-03T20:00:00Z,14589,18259,2025-10-03T05:30:00Z,14.5
2025-10-03T20:30:00Z,14881,17453,2025-10-03T08:30:00Z,12
2025-10-03T21:00:00Z,14703,17453,2025-10-03T08:30:00Z,12.5
2025-10-03T21:30:00Z,14254,16911,2025-10-03T08:30:00Z,13
2025-10-03T22:00:00Z,14019,16911,2025-10-03T08:30:00Z,13.5
2025-10-03T22:30:00Z,13721,16333,2025-10-03T10:30:00Z,12
2025-10-03T23:00:00Z,12972,16333,2025-10-03T10:30:00Z,12.5
2025-10-03T23:00:00Z,12972,16333,2025-10-03T10:30:00Z,12.5
2025-10-03T23:30:00Z,12358,16308,2025-10-03T10:30:00Z,13
2025-10-03T23:30:00Z,12358,16308,2025-10-03T10:30:00Z,13
2025-10-04T00:00:00Z,11634,16308,2025-10-03T10:30:00Z,13.5
2025-10-04T00:00:00Z,11634,16308,2025-10-03T10:30:00Z,13.5
2025-10-04T00:30:00Z,11704,16435,2025-10-03T12:30:00Z,12
2025-10-04T00:30:00Z,11704,16435,2025-10-03T12:30:00Z,12
2025-10-04T01:00:00Z,11822,16435,2025-10-03T12:30:00Z,12.5
2025-10-04T01:00:00Z,11822,16435,2025-10-03T12:30:00Z,12.5
2025-10-04T01:30:00Z,11945,16594,2025-10-03T12:30:00Z,13
2025-10-04T01:30:00Z,11945,16594,2025-10-03T12:30:00Z,13
2025-10-04T02:00:00Z,12162,16594,2025-10-03T12:30:00Z,13.5
2025-10-04T02:00:00Z,12162,16594,2025-10-03T12:30:00Z,13.5
2025-10-04T02:30:00Z,12270,17042,2025-10-03T12:30:00Z,14
2025-10-04T02:30:00Z,12270,17042,2025-10-03T12:30:00Z,14
2025-10-04T03:00:00Z,12526,17042,2025-10-03T12:30:00Z,14.5
2025-10-04T03:00:00Z,12526,17042,2025-10-03T12:30:00Z,14.5
2025-10-04T03:30:00Z,12436,17714,2025-10-03T12:30:00Z,15
2025-10-04T03:30:00Z,12436,17714,2025-10-03T12:30:00Z,15
2025-10-04T04:00:00Z,11968,17714,2025-10-03T12:30:00Z,15.5
2025-10-04T04:00:00Z,11968,17714,2025-10-03T12:30:00Z,15.5
2025-10-04T04:30:00Z,12077,19109,2025-10-03T16:30:00Z,12
2025-10-04T04:30:00Z,12077,19109,2025-10-03T16:30:00Z,12
2025-10-04T05:00:00Z,12138,19109,2025-10-03T16:30:00Z,12.5
2025-10-04T05:00:00Z,12138,19109,2025-10-03T16:30:00Z,12.5
2025-10-04T05:30:00Z,13101,19895,2025-10-03T16:30:00Z,13
